1;49209;51066
2;53144;53427
3;52486;54118
4;53173;55121
5;52304;54610
6;52992;55626
7;52517;57757
8;55909;58435
9;55675;58585
10;54993;57743
11;47458;58005
12;27753;59654
13;11451;59326
14;8664;64490
15;7612;66137
16;7436;63761
17;8823;64148
18;9034;65288
19;10155;67644
20;10926;68381
21;11176;69224
22;12181;69161
23;12377;70546
24;13441;71057
25;16686;70747
26;18126;73162
27;23761;72538
28;26150;72548
29;28196;72071
30;29035;70667
31;30086;70688
32;33181;69703
33;32712;69536
34;33049;70550
35;33271;71461
36;34173;72303
37;33272;72647
38;32341;72615
39;31529;72320
40;31004;69963
41;29408;69997
42;28745;69920
43;27740;68829
44;25947;60185
45;22612;56478
46;19370;56771
47;18124;56568
48;17381;55859
49;17901;56477
50;19241;56851
51;23664;58331
52;17811;46404
